name,owner,url,stars,forks,watchers,created_at,updated_at,description,repo_age_days,merged_pull_requests,total_releases,days_since_last_update,primary_language,closed_issues_ratio,total_issues,closed_issues
hugo,gohugoio,https://github.com/gohugoio/hugo,82992,7978,1081,2013-07-04T15:26:26Z,2025-08-21T21:53:20Z,The world’s fastest framework for building websites.,4431,2957,337,0,Go,0.9435825105782792,7799,7359
mermaid,mermaid-js,https://github.com/mermaid-js/mermaid,82297,7938,653,2014-11-01T23:52:32Z,2025-08-21T22:06:06Z,Generation of diagrams like flowcharts or sequence diagrams from text in a similar manner as markdown,3945,2438,162,0,TypeScript,0.6223672500741619,3371,2098
realworld,gothinkster,https://github.com/gothinkster/realworld,82244,7507,1529,2016-02-26T20:49:53Z,2025-08-21T22:34:14Z,"""The mother of all demo apps"" — Exemplary fullstack Medium.com clone powered by React, Angular, Node, Django, and many more",3464,433,0,0,TypeScript,0.9280442804428044,542,503
animate.css,animate-css,https://github.com/animate-css/animate.css,82056,16172,2238,2011-10-12T10:07:38Z,2025-08-21T19:41:45Z,🍿 A cross-browser library of CSS animations. As easy to use as an easy thing.,5062,315,22,0,CSS,0.9556818181818182,880,841
laravel,laravel,https://github.com/laravel/laravel,81887,24443,4387,2011-06-08T03:06:08Z,2025-08-21T22:47:05Z,"Laravel is a web application framework with expressive, elegant syntax. We’ve already laid the foundation for your next big idea — freeing you to create without sweating the small things.",5188,1641,198,0,Blade,0,0,0
mall,macrozheng,https://github.com/macrozheng/mall,81353,29421,2224,2018-04-04T01:11:44Z,2025-08-21T16:30:58Z,mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于Spring Boot+MyBatis实现，采用Docker容器化部署。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。,2696,1,3,0,Java,0.9798792756539235,497,487
FreeDomain,DigitalPlatDev,https://github.com/DigitalPlatDev/FreeDomain,80890,1491,73,2024-05-30T13:23:00Z,2025-08-21T22:20:16Z,DigitalPlat FreeDomain: Free Domain For Everyone,448,0,0,0,HTML,0,0,0
core,home-assistant,https://github.com/home-assistant/core,80848,34746,1343,2013-09-17T07:29:48Z,2025-08-21T22:00:23Z,:house_with_garden: Open source home automation that puts local control and privacy first.,4356,75781,1000,0,Python,0.9624957981848158,62473,60130
FiraCode,tonsky,https://github.com/tonsky/FiraCode,79928,3171,716,2014-11-11T19:32:38Z,2025-08-21T21:12:49Z,Free monospaced font with programming ligatures,3936,137,29,0,Clojure,0.6994134897360704,1364,954
bun,oven-sh,https://github.com/oven-sh/bun,79843,3270,572,2021-04-14T00:48:17Z,2025-08-21T22:28:21Z,"Incredibly fast JavaScript runtime, bundler, test runner, and package manager – all in one",1590,5969,196,0,Zig,0.6344200962052379,13097,8309
